symbol,company_name
KAHA.N0000,Kahawatte Plantations PLC
KCAB.N0000,Kelani Cables PLC
KFP.N0000,Keells Food Products PLC
KGAL.N0000,Kegalle Plantations PLC
KHC.N0000,The Kandy Hotels Co. (1938) PLC
KHL.N0000,John Keells Hotels PLC
KOTA.N0000,Kotagala Plantations PLC
KPHL.N0000,Kapruka Holdings PLC
KVAL.N0000,Kelani Valley Plantations PLC
KZOO.N0000,Ceylon Land & Equity PLC
LALU.N0000,Lanka Aluminium Industries PLC
LAMB.N0000,Kotmale Holdings PLC
LCBF.N0000,Lanka Credit and Business Finance PLC
LCEY.N0000,Lankem Ceylon PLC
LDEV.N0000,Lankem Developments PLC
LFIN.N0000,LB Finance PLC
LGIL.N0000,LOLC General Insurance PLC
LGL.N0000,LAUGFS Gas PLC
LGL.X0000,LAUGFS Gas PLC
LHCL.N0000,The Lanka Hospitals Corporation PLC
LHL.N0000,The Lighthouse Hotel PLC
LIOC.N0000,Lanka IOC PLC
LION.N0000,Lion Brewery (Ceylon) PLC
LITE.N0000,Laxapana PLC
LLUB.N0000,Chevron Lubricants Lanka PLC
LMF.N0000,Lanka Milk Foods (CWE) PLC
LOFC.N0000,LOLC Finance PLC
LOLC.N0000,LOLC Holdings PLC
LPL.N0000,LAUGFS Power PLC
LPL.X0000,LAUGFS Power PLC
LPRT.N0000,Lake House Printers and Publishers PLC
LUMX.N0000,Luminex Plc
LVEF.N0000,LVL Energy Fund PLC
LVEN.N0000,Lanka Ventures PLC
LWL.N0000,Lanka Walltiles PLC
MADU.N0000,Madulsima Plantations PLC
MAL.N0000,Malwatte Valley Plantations PLC
MAL.X0000,Malwatte Valley Plantations PLC
MARA.N0000,Marawila Resorts PLC
MASK.N0000,Maskeliya Plantations PLC
MBSL.N0000,Merchant Bank of Sri Lanka & Finance PLC
MCPL.N0000,Mahaweli Coconut Plantations PLC
MDL.N0000,Myland Developments PLC
MEL.N0000,Greentech Energy PLC
MELS.N0000,Melstacorp PLC
MERC.N0000,Mercantile Investments and Finance PLC
MFPE.N0000,Maharaja Foods PLC
MGT.N0000,Hayleys Fabric PLC
MHDL.N0000,Millennium Housing Developers PLC
MRH.N0000,Mahaweli Reach Hotels PLC
MSL.N0000,Mercantile Shipping Company PLC
MULL.N0000,Muller & Phipps (Ceylon) PLC
NAMU.N0000,Namunukula Plantations PLC
NDB.N0000,National Development Bank PLC
NEH.N0000,The Nuwara Eliya Hotels Company PLC
NHL.N0000,Nawaloka Hospitals PLC
NTB.N0000,Nations Trust Bank PLC
NTB.X0000,Nations Trust Bank PLC
ODEL.N0000,Odel PLC
OFEQ.N0000,Office Equipment PLC
ONAL.N0000,On'ally Holdings PLC
OSEA.N0000,Overseas Realty (Ceylon) PLC
PABC.N0000,Pan Asia Banking Corporation PLC
PACK.N0000,Ex-pack Corrugated Cartons PLC
PALM.N0000,Palm Garden Hotels PLC
PAP.N0000,Panasian Power PLC
PARA.N0000,Paragon Ceylon PLC
PARQ.N0000,Swisstek (Ceylon) PLC
PEG.N0000,Pegasus Hotels of Ceylon PLC
PHAR.N0000,Colombo City Holdings PLC
PINS.N0000,People's Insurance PLC
PKME.N0000,Digital Mobility Solutions Lanka PLC
