date,symbol,yahoo_ticker,close_price,source,close,ret_1d,sma_50,sma_200,ema_20,rsi_14,macd,macd_signal,macd_hist,atr_14,vol_20,high_252,dist_to_52w_high,peak_close,drawdown,vol_sma_20,vol_spike,trend_long,rsi_state
2026-02-06,EML,EML-N0000.CM,3.2,weekly,3.2,,,,3.2,,0.0,0.0,0.0,,,,,3.2,0.0,,,DOWN,NORMAL
2026-02-06,ETWO,ETWO-N0000.CM,38.8,weekly,38.8,,,,38.8,,0.0,0.0,0.0,,,,,38.8,0.0,,,DOWN,NORMAL
2026-02-06,EXT,EXT,28.827,weekly,28.827,,,,28.827,,0.0,0.0,0.0,,,,,28.827,0.0,,,DOWN,NORMAL
2026-02-06,FCT,FCT,9.98,weekly,9.98,,,,9.98,,0.0,0.0,0.0,,,,,9.98,0.0,,,DOWN,NORMAL
2026-02-06,GEST,GEST-N0000.CM,104.75,weekly,104.75,,,,104.75,,0.0,0.0,0.0,,,,,104.75,0.0,,,DOWN,NORMAL
2026-02-06,GHLL,GHLL-N0000.CM,16.0,weekly,16.0,,,,16.0,,0.0,0.0,0.0,,,,,16.0,0.0,,,DOWN,NORMAL
2026-02-06,GLAS,GLAS-N0000.CM,29.0,weekly,29.0,,,,29.0,,0.0,0.0,0.0,,,,,29.0,0.0,,,DOWN,NORMAL
2026-02-06,GRAN,GRAN-N0000.CM,171.5,weekly,171.5,,,,171.5,,0.0,0.0,0.0,,,,,171.5,0.0,,,DOWN,NORMAL
2026-02-06,GREG,GREG-N0000.CM,38.7,weekly,38.7,,,,38.7,,0.0,0.0,0.0,,,,,38.7,0.0,,,DOWN,NORMAL
2026-02-06,GUAR,GUAR-N0000.CM,97.0,weekly,97.0,,,,97.0,,0.0,0.0,0.0,,,,,97.0,0.0,,,DOWN,NORMAL
2026-02-06,HAPU,HAPU-N0000.CM,31.0,weekly,31.0,,,,31.0,,0.0,0.0,0.0,,,,,31.0,0.0,,,DOWN,NORMAL
2026-02-06,HARI,HARI-N0000.CM,4400.0,weekly,4400.0,,,,4400.0,,0.0,0.0,0.0,,,,,4400.0,0.0,,,DOWN,NORMAL
2026-02-06,HASU,HASU-N0000.CM,58.1,weekly,58.1,,,,58.1,,0.0,0.0,0.0,,,,,58.1,0.0,,,DOWN,NORMAL
2026-02-06,HAYC,HAYC-N0000.CM,79.0,weekly,79.0,,,,79.0,,0.0,0.0,0.0,,,,,79.0,0.0,,,DOWN,NORMAL
2026-02-06,HAYL,HAYL-N0000.CM,100.75,weekly,100.75,,,,100.75,,0.0,0.0,0.0,,,,,100.75,0.0,,,DOWN,NORMAL
2026-02-06,HBS,,20.7,weekly,20.7,,,,20.7,,0.0,0.0,0.0,,,,,20.7,0.0,,,DOWN,NORMAL
2026-02-06,HDFC,HDFC-N0000.CM,32.1,weekly,32.1,,,,32.1,,0.0,0.0,0.0,,,,,32.1,0.0,,,DOWN,NORMAL
2026-02-06,HELA,,3.3,weekly,3.3,,,,3.3,,0.0,0.0,0.0,,,,,3.3,0.0,,,DOWN,NORMAL
2026-02-06,HEXP,HEXP-N0000.CM,51.7,weekly,51.7,,,,51.7,,0.0,0.0,0.0,,,,,51.7,0.0,,,DOWN,NORMAL
2026-02-06,HHL,HHL-N0000.CM,80.6,weekly,80.6,,,,80.6,,0.0,0.0,0.0,,,,,80.6,0.0,,,DOWN,NORMAL
2026-02-06,HNB,HNB-X0000.CM,148.75,weekly,148.75,,,,148.75,,0.0,0.0,0.0,,,,,148.75,0.0,,,DOWN,NORMAL
2026-02-06,HNBF,HNBF-X0000.CM,5.5,weekly,5.5,,,,5.5,,0.0,0.0,0.0,,,,,5.5,0.0,,,DOWN,NORMAL
2026-02-06,HOPL,HOPL-N0000.CM,38.0,weekly,38.0,,,,38.0,,0.0,0.0,0.0,,,,,38.0,0.0,,,DOWN,NORMAL
2026-02-06,HPFL,HPFL-N0000.CM,11.1,weekly,11.1,,,,11.1,,0.0,0.0,0.0,,,,,11.1,0.0,,,DOWN,NORMAL
2026-02-06,HPL,HPL-N0000.CM,23.5,weekly,23.5,,,,23.5,,0.0,0.0,0.0,,,,,23.5,0.0,,,DOWN,NORMAL
2026-02-06,HPWR,HPWR-N0000.CM,22.0,weekly,22.0,,,,22.0,,0.0,0.0,0.0,,,,,22.0,0.0,,,DOWN,NORMAL
2026-02-06,HSIG,HSIG-N0000.CM,46.4,weekly,46.4,,,,46.4,,0.0,0.0,0.0,,,,,46.4,0.0,,,DOWN,NORMAL
2026-02-06,HUNA,HUNA-N0000.CM,23.5,weekly,23.5,,,,23.5,,0.0,0.0,0.0,,,,,23.5,0.0,,,DOWN,NORMAL
2026-02-06,HUNT,HUNT-N0000.CM,619.75,weekly,619.75,,,,619.75,,0.0,0.0,0.0,,,,,619.75,0.0,,,DOWN,NORMAL
2026-02-06,HVA,,4.1,weekly,4.1,,,,4.1,,0.0,0.0,0.0,,,,,4.1,0.0,,,DOWN,NORMAL
2026-02-06,INME,,1733.75,weekly,1733.75,,,,1733.75,,0.0,0.0,0.0,,,,,1733.75,0.0,,,DOWN,NORMAL
2026-02-06,JAT,JAT-N0000.CM,19.1,weekly,19.1,,,,19.1,,0.0,0.0,0.0,,,,,19.1,0.0,,,DOWN,NORMAL
2026-02-06,JETS,JETS-N0000.CM,8.0,weekly,8.0,,,,8.0,,0.0,0.0,0.0,,,,,8.0,0.0,,,DOWN,NORMAL
2026-02-06,JFP,,16.4,weekly,16.4,,,,16.4,,0.0,0.0,0.0,,,,,16.4,0.0,,,DOWN,NORMAL
