symbol,company,cse_symbol,yahoo_ticker
ASIY,Asia Siyaka Commodities PLC,ASIY.N0000,ASIY-N0000.CM
ASPH,Industrial Asphalts (Ceylon) PLC,ASPH.N0000,ASPH-N0000.CM
ATL,Aṃna Takaful PLC,ATL.N0000,ATL-N0000.CM
ATLL,Aṃna Takaful Life PLC,ATLL.N0000,ATLL-N0000.CM
AUTO,The Autodrome PLC,AUTO.N0000,AUTO-N0000.CM
BALA,Balangoda Plantations PLC,BALA.N0000,BALA-N0000.CM
BBH,Browns Beach Hotels PLC,BBH.N0000,BBH-N0000.CM
BERU,Beruwala Resorts PLC,BERU.N0000,BERU-N0000.CM
BFL,Bairaha Farms PLC,BFL.N0000,BFL-N0000.CM
BFN,JANASHAKTHI FINANCE PLC,BFN.N0000,BFN-N0000.CM
BIL,Browns Investments PLC,BIL.N0000,BIL-N0000.CM
BLUE,Blue Diamonds Jewellery Worldwide PLC,BLUE.N0000,BLUE-N0000.CM
BOGA,Bogala Graphite Lanka PLC,BOGA.N0000,BOGA-N0000.CM
BOPL,Bogawantalawa Tea Estates PLC,BOPL.N0000,BOPL-N0000.CM
BPPL,BPPL Holdings PLC,BPPL.N0000,BPPL-N0000.CM
BREW,Ceylon Beverage Holdings PLC,BREW.N0000,BREW-N0000.CM
BRR,Bansei Royal Resorts Hikkaduwa PLC,BRR.N0000,BRR-N0000.CM
BRWN,Brown and Company PLC,BRWN.N0000,BRWN-N0000.CM
BUKI,Bukit Darah PLC,BUKI.N0000,BUKI-N0000.CM
CABO,Cargo Boat Development Company PLC,CABO.N0000,CABO-N0000.CM
CALF,Dialog Finance PLC,CALF.N0000,CALF-N0000.CM
CALH,Capital Alliance Holdings Limited,CALH.N0000,CALH-N0000.CM
CALT,Capital Alliance PLC,CALT.N0000,CALT-N0000.CM
CARE,Printcare PLC,CARE.N0000,CARE-N0000.CM
CARG,Cargills (Ceylon) PLC,CARG.N0000,CARG-N0000.CM
CARS,Carson Cumberbatch PLC,CARS.N0000,CARS-N0000.CM
CBNK,Cargills Bank PLC,CBNK.N0000,CBNK-N0000.CM
CCS,Ceylon Cold Stores PLC,CCS.N0000,CCS-N0000.CM
CDB,Citizens Development Business Finance PLC,CDB.N0000,CDB-N0000.CM
CDB,Citizens Development Business Finance PLC,CDB.X0000,CDB-X0000.CM
CERA,Lanka Ceramic PLC,CERA.N0000,CERA-N0000.CM
CFI,Colombo Fort Investments PLC,CFI.N0000,CFI-N0000.CM
CFIN,Central Finance Company PLC,CFIN.N0000,CFIN-N0000.CM
CFLB,The Colombo Fort Land & Building PLC,CFLB.N0000,CFLB-N0000.CM
CFVF,First Capital Holdings PLC,CFVF.N0000,CFVF-N0000.CM
CHL,Ceylon Hospitals PLC,CHL.N0000,CHL-N0000.CM
CHL,Ceylon Hospitals PLC,CHL.X0000,CHL-X0000.CM
CHMX,Chemanex PLC,CHMX.N0000,CHMX-N0000.CM
CHOT,Ceylon Hotels Corporation PLC,CHOT.N0000,CHOT-N0000.CM
CIC,CIC Holdings PLC,CIC.N0000,CIC-N0000.CM
CIC,CIC Holdings PLC,CIC.X0000,CIC-X0000.CM
CIND,Central Industries PLC,CIND.N0000,CIND-N0000.CM
CINS,Ceylinco Holdings PLC,CINS.N0000,CINS-N0000.CM
CINS,Ceylinco Holdings PLC,CINS.X0000,CINS-X0000.CM
CINV,Ceylon Investment PLC,CINV.N0000,CINV-N0000.CM
CIT,Colombo Investment Trust PLC,CIT.N0000,CIT-N0000.CM
CITH,Hikkaduwa Beach Resort PLC,CITH.N0000,CITH-N0000.CM
CITW,Waskaduwa Beach Resort PLC,CITW.N0000,CITW-N0000.CM
CLND,Colombo Land and Development Company PLC,CLND.N0000,CLND-N0000.CM
COCO,Renuka Foods PLC,COCO.N0000,COCO-N0000.CM
COCO,Renuka Foods PLC,COCO.X0000,COCO-X0000.CM
COCR,Commercial Credit and Finance PLC,COCR.N0000,COCR-N0000.CM
COLO,C M Holdings PLC,COLO.N0000,COLO-N0000.CM
COMB,Commercial Bank of Ceylon PLC,COMB.N0000,COMB-N0000.CM
COMB,Commercial Bank of Ceylon PLC,COMB.X0000,COMB-X0000.CM
COMD,Commercial Development Company PLC,COMD.N0000,COMD-N0000.CM
CONN,Hayleys Leisure PLC,CONN.N0000,CONN-N0000.CM
COOP,Co-operative Insurance Company PLC,COOP.N0000,COOP-N0000.CM
CPRT,Kerner Haus Global Solutions PLC,CPRT.N0000,CPRT-N0000.CM
CRL,Softlogic Finance PLC,CRL.N0000,CRL-N0000.CM
CSD,Seylan Developments PLC,CSD.N0000,CSD-N0000.CM
CSF,Nation Lanka Finance PLC,CSF.N0000,CSF-N0000.CM
CSLK,Cable Solutions PLC,CSLK.N0000,CSLK-N0000.CM
CTBL,Ceylon Tea Brokers PLC,CTBL.N0000,CTBL-N0000.CM
CTC,Ceylon Tobacco Company PLC,CTC.N0000,CTC-N0000.CM
CTEA,Dilmah Ceylon Tea Company PLC,CTEA.N0000,CTEA-N0000.CM
CTHR,C T Holdings PLC,CTHR.N0000,CTHR-N0000.CM
CTLD,CT Land Development PLC,CTLD.N0000,CTLD-N0000.CM
CWL,Chrissworld PLC,CWL.N0000,CWL-N0000.CM
CWM,C. W. Mackie PLC,CWM.N0000,CWM-N0000.CM
DFCC,DFCC Bank PLC,DFCC.N0000,DFCC-N0000.CM
DIAL,Dialog Axiata PLC,DIAL.N0000,DIAL-N0000.CM
DIMO,Diesel & Motor Engineering PLC,DIMO.N0000,DIMO-N0000.CM
DIPD,Dipped Products PLC,DIPD.N0000,DIPD-N0000.CM
DIST,Distilleries Company of Sri Lanka PLC,DIST.N0000,DIST-N0000.CM
DOCK,Colombo Dockyard PLC,DOCK.N0000,DOCK-N0000.CM
DPL,Dankotuwa Porcelain PLC,DPL.N0000,DPL-N0000.CM
EAST,East West Properties PLC,EAST.N0000,EAST-N0000.CM
EBCR,E.B. Creasy & Company PLC,EBCR.N0000,EBCR-N0000.CM
ECL,eChannelling PLC,ECL.N0000,ECL-N0000.CM
EDEN,Eden Hotel Lanka PLC,EDEN.N0000,EDEN-N0000.CM
ELPL,Elpitiya Plantations PLC,ELPL.N0000,ELPL-N0000.CM
EMER,Eastern Merchants PLC,EMER.N0000,EMER-N0000.CM
EML,EML Consultants PLC,EML.N0000,EML-N0000.CM
ETWO,Equity Two PLC,ETWO.N0000,ETWO-N0000.CM
EXT,Exterminators Plc,EXT.N0000,EXT-N0000.CM
FCT,First Capital Treasuries PLC,FCT.N0000,FCT-N0000.CM
GEST,Gestetner of Ceylon PLC,GEST.N0000,GEST-N0000.CM
GHLL,GALADARI Hotels (Lanka) PLC,GHLL.N0000,GHLL-N0000.CM
GLAS,PGP Glass Ceylon PLC,GLAS.N0000,GLAS-N0000.CM
GRAN,Ceylon Grain Elevators PLC,GRAN.N0000,GRAN-N0000.CM
GREG,Ambeon Holdings PLC,GREG.N0000,GREG-N0000.CM
GUAR,Ceylon Guardian Investment Trust PLC,GUAR.N0000,GUAR-N0000.CM
HAPU,Hapugastenne Plantations PLC,HAPU.N0000,HAPU-N0000.CM
HARI,Harischandra Mills PLC,HARI.N0000,HARI-N0000.CM
HASU,HNB Assurance PLC,HASU.N0000,HASU-N0000.CM
HAYC,Haycarb PLC,HAYC.N0000,HAYC-N0000.CM
HAYL,Hayleys PLC,HAYL.N0000,HAYL-N0000.CM
HBS,hSenid Business Solutions PLC,HBS.N0000,HBS-N0000.CM
HDFC,Housing Development Finance Corporation Bank of Sri Lanka,HDFC.N0000,HDFC-N0000.CM
HELA,Hela Apparel Holdings PLC,HELA.N0000,HELA-N0000.CM
HEXP,Hayleys Fibre PLC,HEXP.N0000,HEXP-N0000.CM
HHL,Hemas Holdings PLC,HHL.N0000,HHL-N0000.CM
HNB,Hatton National Bank PLC,HNB.N0000,HNB-N0000.CM
HNB,Hatton National Bank PLC,HNB.X0000,HNB-X0000.CM
HNBF,HNB Finance PLC,HNBF.N0000,HNBF-N0000.CM
HNBF,HNB Finance PLC,HNBF.X0000,HNBF-X0000.CM
HOPL,Horana Plantations PLC,HOPL.N0000,HOPL-N0000.CM
HPFL,Lotus Hydro Power PLC,HPFL.N0000,HPFL-N0000.CM
HPL,Hatton Plantations PLC,HPL.N0000,HPL-N0000.CM
HPWR,Resus Energy PLC,HPWR.N0000,HPWR-N0000.CM
HSIG,Hotel Sigiriya PLC,HSIG.N0000,HSIG-N0000.CM
HUNA,Hunas Holdings PLC,HUNA.N0000,HUNA-N0000.CM
HUNT,Hunter & Company PLC,HUNT.N0000,HUNT-N0000.CM
HVA,HVA Foods PLC,HVA.N0000,HVA-N0000.CM
INME,InsureMe Insurance Brokers (Pvt) Ltd,INME.N0000,INME-N0000.CM
JAT,JAT Holdings PLC,JAT.N0000,JAT-N0000.CM
JETS,Jetwing Symphony PLC,JETS.N0000,JETS-N0000.CM
JFP,JF Packaging Limited,JFP.N0000,JFP-N0000.CM
JINS,Janashakthi Insurance PLC,JINS.N0000,JINS-N0000.CM
JKH,John Keells Holdings PLC,JKH.N0000,JKH-N0000.CM
JKL,John Keells PLC,JKL.N0000,JKL-N0000.CM
KAHA,Kahawatte Plantations PLC,KAHA.N0000,KAHA-N0000.CM
KCAB,Kelani Cables PLC,KCAB.N0000,KCAB-N0000.CM
KFP,Keells Food Products PLC,KFP.N0000,KFP-N0000.CM
KGAL,Kegalle Plantations PLC,KGAL.N0000,KGAL-N0000.CM
KHC,The Kandy Hotels Co. (1938) PLC,KHC.N0000,KHC-N0000.CM
KHL,John Keells Hotels PLC,KHL.N0000,KHL-N0000.CM
KOTA,Kotagala Plantations PLC,KOTA.N0000,KOTA-N0000.CM
KPHL,Kapruka Holdings PLC,KPHL.N0000,KPHL-N0000.CM
KVAL,Kelani Valley Plantations PLC,KVAL.N0000,KVAL-N0000.CM
KZOO,Ceylon Land & Equity PLC,KZOO.N0000,KZOO-N0000.CM
LALU,Lanka Aluminium Industries PLC,LALU.N0000,LALU-N0000.CM
LAMB,Kotmale Holdings PLC,LAMB.N0000,LAMB-N0000.CM
LCBF,Lanka Credit and Business Finance PLC,LCBF.N0000,LCBF-N0000.CM
LCEY,Lankem Ceylon PLC,LCEY.N0000,LCEY-N0000.CM
LDEV,Lankem Developments PLC,LDEV.N0000,LDEV-N0000.CM
LFIN,LB Finance PLC,LFIN.N0000,LFIN-N0000.CM
LGIL,LOLC General Insurance PLC,LGIL.N0000,LGIL-N0000.CM
LGL,LAUGFS Gas PLC,LGL.N0000,LGL-N0000.CM
LGL,LAUGFS Gas PLC,LGL.X0000,LGL-X0000.CM
LHCL,The Lanka Hospitals Corporation PLC,LHCL.N0000,LHCL-N0000.CM
LHL,The Lighthouse Hotel PLC,LHL.N0000,LHL-N0000.CM
LIOC,Lanka IOC PLC,LIOC.N0000,LIOC-N0000.CM
LION,Lion Brewery (Ceylon) PLC,LION.N0000,LION-N0000.CM
LITE,Laxapana PLC,LITE.N0000,LITE-N0000.CM
LLUB,Chevron Lubricants Lanka PLC,LLUB.N0000,LLUB-N0000.CM
LMF,Lanka Milk Foods (CWE) PLC,LMF.N0000,LMF-N0000.CM
LOFC,LOLC Finance PLC,LOFC.N0000,LOFC-N0000.CM
LOLC,LOLC Holdings PLC,LOLC.N0000,LOLC-N0000.CM
LPL,LAUGFS Power PLC,LPL.N0000,LPL-N0000.CM
LPL,LAUGFS Power PLC,LPL.X0000,LPL-X0000.CM
LPRT,Lake House Printers and Publishers PLC,LPRT.N0000,LPRT-N0000.CM
LUMX,Luminex Plc,LUMX.N0000,LUMX-N0000.CM
LVEF,LVL Energy Fund PLC,LVEF.N0000,LVEF-N0000.CM
LVEN,Lanka Ventures PLC,LVEN.N0000,LVEN-N0000.CM
LWL,Lanka Walltiles PLC,LWL.N0000,LWL-N0000.CM
MADU,Madulsima Plantations PLC,MADU.N0000,MADU-N0000.CM
MAL,Malwatte Valley Plantations PLC,MAL.N0000,MAL-N0000.CM
MAL,Malwatte Valley Plantations PLC,MAL.X0000,MAL-X0000.CM
MARA,Marawila Resorts PLC,MARA.N0000,MARA-N0000.CM
MASK,Maskeliya Plantations PLC,MASK.N0000,MASK-N0000.CM
MBSL,Merchant Bank of Sri Lanka & Finance PLC,MBSL.N0000,MBSL-N0000.CM
MCPL,Mahaweli Coconut Plantations PLC,MCPL.N0000,MCPL-N0000.CM
MDL,Myland Developments PLC,MDL.N0000,MDL-N0000.CM
MEL,Greentech Energy PLC,MEL.N0000,MEL-N0000.CM
MELS,Melstacorp PLC,MELS.N0000,MELS-N0000.CM
MERC,Mercantile Investments and Finance PLC,MERC.N0000,MERC-N0000.CM
MFPE,Maharaja Foods PLC,MFPE.N0000,MFPE-N0000.CM
MGT,Hayleys Fabric PLC,MGT.N0000,MGT-N0000.CM
MHDL,Millennium Housing Developers PLC,MHDL.N0000,MHDL-N0000.CM
MRH,Mahaweli Reach Hotels PLC,MRH.N0000,MRH-N0000.CM
MSL,Mercantile Shipping Company PLC,MSL.N0000,MSL-N0000.CM
MULL,Muller & Phipps (Ceylon) PLC,MULL.N0000,MULL-N0000.CM
NAMU,Namunukula Plantations PLC,NAMU.N0000,NAMU-N0000.CM
NDB,National Development Bank PLC,NDB.N0000,NDB-N0000.CM
NEH,The Nuwara Eliya Hotels Company PLC,NEH.N0000,NEH-N0000.CM
NHL,Nawaloka Hospitals PLC,NHL.N0000,NHL-N0000.CM
NTB,Nations Trust Bank PLC,NTB.N0000,NTB-N0000.CM
NTB,Nations Trust Bank PLC,NTB.X0000,NTB-X0000.CM
ODEL,Odel PLC,ODEL.N0000,ODEL-N0000.CM
OFEQ,Office Equipment PLC,OFEQ.N0000,OFEQ-N0000.CM
ONAL,On'ally Holdings PLC,ONAL.N0000,ONAL-N0000.CM
OSEA,Overseas Realty (Ceylon) PLC,OSEA.N0000,OSEA-N0000.CM
PABC,Pan Asia Banking Corporation PLC,PABC.N0000,PABC-N0000.CM
PACK,Ex-pack Corrugated Cartons PLC,PACK.N0000,PACK-N0000.CM
PALM,Palm Garden Hotels PLC,PALM.N0000,PALM-N0000.CM
PAP,Panasian Power PLC,PAP.N0000,PAP-N0000.CM
PARA,Paragon Ceylon PLC,PARA.N0000,PARA-N0000.CM
PARQ,Swisstek (Ceylon) PLC,PARQ.N0000,PARQ-N0000.CM
PEG,Pegasus Hotels of Ceylon PLC,PEG.N0000,PEG-N0000.CM
PHAR,Colombo City Holdings PLC,PHAR.N0000,PHAR-N0000.CM
PINS,People's Insurance PLC,PINS.N0000,PINS-N0000.CM
PKME,Digital Mobility Solutions Lanka PLC,PKME.N0000,PKME-N0000.CM
PLC,People's Leasing & Finance PLC,PLC.N0000,PLC-N0000.CM
PLR,Prime Lands Residencies PLC,PLR.N0000,PLR-N0000.CM
PMB,PMF Finance PLC,PMB.N0000,PMB-N0000.CM
RAL,Renuka Agri Foods PLC,RAL.N0000,RAL-N0000.CM
RCH,Renuka Hotels PLC,RCH.N0000,RCH-N0000.CM
RCL,Royal Ceramics Lanka PLC,RCL.N0000,RCL-N0000.CM
REEF,Citrus Leisure PLC,REEF.N0000,REEF-N0000.CM
RENU,Renuka City Hotels PLC,RENU.N0000,RENU-N0000.CM
REXP,Richard Pieris Exports PLC,REXP.N0000,REXP-N0000.CM
RFL,Ramboda Falls PLC,RFL.N0000,RFL-N0000.CM
RGEM,Radiant Gems International PLC,RGEM.N0000,RGEM-N0000.CM
RHL,Renuka Holdings PLC,RHL.N0000,RHL-N0000.CM
RHL,Renuka Holdings PLC,RHL.X0000,RHL-X0000.CM
RHTL,The Fortress Resorts PLC,RHTL.N0000,RHTL-N0000.CM
RICH,Richard Pieris and Company PLC,RICH.N0000,RICH-N0000.CM
RIL,R I L Property PLC,RIL.N0000,RIL-N0000.CM
RPBH,Royal Palms Beach Hotels PLC,RPBH.N0000,RPBH-N0000.CM
RWSL,Raigam Wayamba Salterns PLC,RWSL.N0000,RWSL-N0000.CM
SAMP,Sampath Bank PLC,SAMP.N0000,SAMP-N0000.CM
SCAP,Softlogic Capital PLC,SCAP.N0000,SCAP-N0000.CM
SDB,SANASA Development Bank PLC,SDB.N0000,SDB-N0000.CM
SDF,Sarvodaya Development Finance PLC,SDF.N0000,SDF-N0000.CM
SEMB,SMB Finance PLC,SEMB.N0000,SEMB-N0000.CM
SEMB,SMB Finance PLC,SEMB.X0000,SEMB-X0000.CM
SERV,The Kingsbury PLC,SERV.N0000,SERV-N0000.CM
SEYB,Seylan Bank PLC,SEYB.N0000,SEYB-N0000.CM
SEYB,Seylan Bank PLC,SEYB.X0000,SEYB-X0000.CM
SFCL,Senkadagala Finance PLC,SFCL.N0000,SFCL-N0000.CM
SFIN,Singer Finance (Lanka) PLC,SFIN.N0000,SFIN-N0000.CM
SHAW,Lee Hedges PLC,SHAW.N0000,SHAW-N0000.CM
SHL,Softlogic Holdings PLC,SHL.N0000,SHL-N0000.CM
SHOT,Serendib Hotels PLC,SHOT.N0000,SHOT-N0000.CM
SHOT,Serendib Hotels PLC,SHOT.X0000,SHOT-X0000.CM
SIGV,Sigiriya Village Hotels PLC,SIGV.N0000,SIGV-N0000.CM
SIL,Samson International PLC,SIL.N0000,SIL-N0000.CM
SING,Standard Capital PLC,SING.N0000,SING-N0000.CM
SINH,Singhe Hospitals PLC,SINH.N0000,SINH-N0000.CM
SINS,Singer (Sri Lanka) PLC,SINS.N0000,SINS-N0000.CM
SIRA,Sierra Cables PLC,SIRA.N0000,SIRA-N0000.CM
SLND,Serendib Land PLC,SLND.N0000,SLND-N0000.CM
SLTL,Sri Lanka Telecom PLC,SLTL.N0000,SLTL-N0000.CM
SMOT,Sathosa Motors PLC,SMOT.N0000,SMOT-N0000.CM
SOY,Convenience Foods (Lanka) PLC,SOY.N0000,SOY-N0000.CM
SPEN,Aitken Spence PLC,SPEN.N0000,SPEN-N0000.CM
STAF,Dolphin Hotels PLC,STAF.N0000,STAF-N0000.CM
SUN,Sunshine Holdings PLC,SUN.N0000,SUN-N0000.CM
SWAD,The Swadeshi Industrial Works PLC,SWAD.N0000,SWAD-N0000.CM
TAFL,Three Acre Farms PLC,TAFL.N0000,TAFL-N0000.CM
TAJ,TAL Lanka Hotels PLC,TAJ.N0000,TAJ-N0000.CM
TANG,Tangerine Beach Hotels PLC,TANG.N0000,TANG-N0000.CM
TAP,Ambeon Capital PLC,TAP.N0000,TAP-N0000.CM
TESS,Tess Agro PLC,TESS.N0000,TESS-N0000.CM
TESS,Tess Agro PLC,TESS.X0000,TESS-X0000.CM
TILE,Lanka Tiles PLC,TILE.N0000,TILE-N0000.CM
TJL,Teejay Lanka PLC,TJL.N0000,TJL-N0000.CM
TKYO,Tokyo Cement Company (Lanka) PLC,TKYO.N0000,TKYO-N0000.CM
TKYO,Tokyo Cement Company (Lanka) PLC,TKYO.X0000,TKYO-X0000.CM
TPL,Talawakelle Tea Estates PLC,TPL.N0000,TPL-N0000.CM
TRAN,Trans Asia Hotels PLC,TRAN.N0000,TRAN-N0000.CM
TSML,Tea Smallholder Factories PLC,TSML.N0000,TSML-N0000.CM
TYRE,Kelani Tyres PLC,TYRE.N0000,TYRE-N0000.CM
UAL,Union Assurance PLC,UAL.N0000,UAL-N0000.CM
UBC,Union Bank of Colombo PLC,UBC.N0000,UBC-N0000.CM
UBF,UB Finance PLC,UBF.N0000,UBF-N0000.CM
UCAR,Union Chemicals Lanka PLC,UCAR.N0000,UCAR-N0000.CM
UDPL,Udapussellawa Plantations PLC,UDPL.N0000,UDPL-N0000.CM
UML,United Motors Lanka PLC,UML.N0000,UML-N0000.CM
VFIN,Vallibel Finance PLC,VFIN.N0000,VFIN-N0000.CM
VLL,Vidullanka PLC,VLL.N0000,VLL-N0000.CM
VLL,Vidullanka PLC,VLL.X0000,VLL-X0000.CM
VONE,Vallibel One PLC,VONE.N0000,VONE-N0000.CM
VPEL,Vallibel Power Erathna PLC,VPEL.N0000,VPEL-N0000.CM
WAPO,Galle Face Capital Partners PLC,WAPO.N0000,WAPO-N0000.CM
WATA,Watawala Plantations PLC,WATA.N0000,WATA-N0000.CM
WIND,WindForce PLC,WIND.N0000,WIND-N0000.CM
WLTH,WealthTrust Securities Limited,WLTH.N0000,WLTH-N0000.CM
YORK,York Arcade Holdings PLC,YORK.N0000,YORK-N0000.CM
